Running for 30 seconds or hit Ctrl-C to end.
CPID      TID      NAME             CPU     REFERENCE         MISS    HIT%
2439     2587     QXcbEventQueue   17           1600          400  75.00%
3227     3254     QXcbEventQueue   3            4900         1900  61.22%
2625     2670     gdbus            12          20500        10700  47.80%
3222     3222     akonadi_birthda  14           3000         1000  66.67%
3224     3224     akonadi_ical_re  13            500          600   0.00%
3573     3595     Timer            13           1200          800  33.33%
3482     3821     FSBroker3820     13           5700         2300  59.65%
5661     5661     modprobe         19           4300          300  93.02%
5665     5665     modprobe         12           5200         1800  65.38%
5660     5660     nvidia-modprobe  17           8500         5000  41.18%
3638     3643     IPC I/O Child    1            5300         1300  75.47%
2273     2273     xfwm4            7           65300        31400  51.91%
5625     5625     modprobe         18          12100         2400  80.17%
4707     4707     qalculate-gtk    2            5000         3300  34.00%
3982     5651     StreamTrans #35  6           27600        27000   2.17%
2947     2955     mysqld           10           7000         8300   0.00%
4794     4794     kworker/18:2     18           1600          700  56.25%
174      174      khugepaged       14           6000         9000   0.00%
1197     1197     irq/184-iwlwifi  13          18100         9600  46.96%
5644     5644     nvidia-modprobe  0           38600         3500  90.93%
3222     3251     QXcbEventQueue   1            2700         1300  51.85%
5627     5627     nvidia-modprobe  0           38300        11600  69.71%
5600     5600     vkcube           16           5700         4500  21.05%
2743     2743     akonadi_control  19           6300         4800  23.81%
5641     5641     sh               19          11900         1400  88.24%
5652     5652     nvidia-modprobe  19           7400         1700  77.03%
723      723      kworker/u80:6    14            600          200  66.67%
150      150      rcuop/7          12          12800         6600  48.44%
5632     5632     nvidia-modprobe  17           6500         1000  84.62%
3225     3225     akonadi_indexin  12           1900         1300  31.58%
5639     5639     kworker/18:1     0             400          200  50.00%
5647     5647     modprobe         17          11000         1800  83.64%
5627     5627     nvidia-modprobe  4           52500         8500  83.81%
0        0        swapper/18       18         876100       249000  71.58%
3482     3491     IPC I/O Parent   12           7400         3700  50.00%
2349     2349     xfce4-panel      15          16000        18800   0.00%
2074     2074     xfce4-session    14           4800         1900  60.42%
75       75       migration/13     13           9600         1000  89.58%
2074     2074     xfce4-session    12           5700         5400   5.26%
5638     5638     nvidia-modprobe  6           70500        21400  69.65%
4369     4369     kworker/8:2      8           25600        15400  39.84%
333      333      kworker/0:1H     0            3400         3000  11.76%
3222     3251     QXcbEventQueue   0            3800         1800  52.63%
5636     5636     modprobe         17          36500        25500  30.14%
2390     2390     xfdesktop        13           6000         1700  71.67%
2061     2061     dbus-broker      15          10000         5000  50.00%
2156     2178     gdbus            12          13300         9100  31.58%
5649     5649     modprobe         12           6900        11100   0.00%
710      710      kworker/u80:5    12          38100        21800  42.78%
2625     2625     plank            18           1900          100  94.74%
5600     5600     vkcube           19           3400          800  76.47%
2440     2518     QXcbEventQueue   0             400          100  75.00%
3982     3987     IPC I/O Child    15           3300         1600  51.52%
5648     5648     nvidia-modprobe  6           26800         9000  66.42%
174      174      khugepaged       18          21400         8700  59.35%
2752     2785     gdbus            4             500            0 100.00%
4970     4970     Web Content      7            3300         2600  21.21%
4198     4198     bash             14           6300         6800   0.00%
3225     3237     QXcbEventQueue   4            1200          400  66.67%
5631     5631     sh               17           4900         3800  22.45%
45       45       kworker/6:0      6            9400         2700  71.28%
5626     5626     false            17           1000         2200   0.00%
5617     5617     modprobe         18          40800        30900  24.26%
2067     2070     rtkit-daemon     0            4300         1000  76.74%
3224     3236     QXcbEventQueue   12           3000         1100  63.33%
2438     2438     xfce4-terminal   11          31900        30600   4.08%
3715     3715     Isolated Web Co  17            200         4400   0.00%
3227     3227     akonadi_maildis  12           7700         3100  59.74%
5619     5619     kworker/7:0      0             600          100  83.33%
5641     5641     false            19           2700         3900   0.00%
5646     5646     modprobe         0           21300        23400   0.00%
255      255      kworker/12:1H    12           1600         1300  18.75%
2349     2349     xfce4-panel      19           6900         5900  14.49%
2273     2273     xfwm4            13           8400         1200  85.71%
43       43       migration/6      6            3000          700  76.67%
2625     5645     pool-plank       16           5500         1000  81.82%
179      179      irq/9-acpi       0           58000         3000  94.83%
2438     2438     xfce4-terminal   3           32200        37500   0.00%
5600     5600     vkcube           4          772700       430300  44.31%
5476     5476     kworker/0:0      0          393400        23100  94.13%
2273     2273     xfwm4            11         152000       130000  14.47%
3227     3227     akonadi_maildis  17            700          400  42.86%
5600     5600     vkcube           7          161300        68900  57.28%
710      710      kworker/u80:5    14          86400        35400  59.03%
5642     5642     kworker/11:0     0             400          100  75.00%
4026     4026     Isolated Web Co  16           3900         7700   0.00%
5477     5477     kworker/12:2     12          17900         6400  64.25%
2939     2939     blueman-tray     12          77000        22400  70.91%
3229     3271     QXcbEventQueue   4            3900         1700  56.41%
1412     1412     kworker/15:3     15          10700         5000  53.27%
2625     2625     plank            12          97200        30400  68.72%
5600     5666     vkcube:disk$0    17            400         1200   0.00%
2625     5615     pool-spawner     17           3200          300  90.62%
5644     5644     nvidia-modprobe  13           2200          400  81.82%
2440     2518     QXcbEventQueue   10           2300          800  65.22%
4531     4531     mousepad         13            200         2600   0.00%
0        0        swapper/1        1            9700         2800  71.13%
2074     2074     xfce4-session    0            3800          600  84.21%
1617     1819     InputThread      0         1553200        32600  97.90%
48       48       rcuop/6          0           17600         5100  71.02%
19       19       rcuog/0          0         2078300        30600  98.53%
0        0        swapper/19       19         419800       142100  66.15%
5618     5618     sh               0           14800        13400   9.46%
5632     5632     nvidia-modprobe  4           77600        16700  78.48%
5600     5600     vkcube           11          68400        25700  62.43%
2752     2752     bamfdaemon       16            600          900   0.00%
5600     5600     vkcube           17          11300         9300  17.70%
3225     3225     akonadi_indexin  13           5800         3400  41.38%
5623     5623     sh               12          21100        16600  21.33%
2625     2670     gdbus            17          11600         2900  75.00%
5614     5614     false            0             400         3700   0.00%
Total References: 68690800 Total Misses: 14599200 Hit Rate: 78.75%
