Running for 30 seconds or hit Ctrl-C to end.
CPID      TID      NAME             CPU     REFERENCE         MISS    HIT%
1528     1539     usbmuxd          16          12100         5000  58.68%
5618     5618     sh               12          13000         2800  78.46%
2396     2396     panel-5-netload  0           71300        43100  39.55%
2396     2396     panel-5-netload  15           8800         2200  75.00%
2469     2471     gmain            0           13800         2600  81.16%
1528     1660     usbmuxd          12          33500        11000  67.16%
2438     2438     xfce4-terminal   4           27600        34400   0.00%
2390     2390     xfdesktop        6            3300         2100  36.36%
5600     5669     WSI swapchain e  12           8500         2100  75.29%
1094     1094     irq/183-VEN_06C  17        4236300      2785500  34.25%
5600     5600     vkcube           10          10300        11900   0.00%
5624     5624     vkcube           17           5300          400  92.45%
3482     3983     FSBroker3982     18           1800         2400   0.00%
2672     2672     xfce4-screensav  3            3800         4700   0.00%
5632     5632     vkcube           12            500            0 100.00%
5634     5634     sh               12           5000         6400   0.00%
920      920      kworker/u80:10   17           9800         6700  31.63%
3225     3237     QXcbEventQueue   12            800          100  87.50%
3982     3982     Isolated Web Co  18           3000         1600  46.67%
2752     2752     bamfdaemon       7           16000         7200  55.00%
3482     3482     firefox          13          13300        21200   0.00%
3221     3231     QXcbEventQueue   15            500         1900   0.00%
2752     2785     gdbus            16           4800          600  87.50%
5600     5669     WSI swapchain e  2             600         2500   0.00%
3224     3236     QXcbEventQueue   0            2500          500  80.00%
2273     2273     xfwm4            12          40900        15200  62.84%
36       36       migration/4      4            5100          500  90.20%
5058     5063     IPC I/O Child    11           4500          500  88.89%
3715     5592     StreamTrans #47  0             400         2400   0.00%
5016     5031     Timer            12           4700         1300  72.34%
994      994      kworker/u80:11   15          52000        39700  23.65%
2743     2749     QXcbEventQueue   14            700          200  71.43%
2439     2587     QXcbEventQueue   15            900          300  66.67%
2380     2380     Thunar           18           2900         1900  34.48%
995      995      kworker/11:2     11           1600          500  68.75%
3222     3222     akonadi_birthda  12           3500         1700  51.43%
146      146      migration/7      7             400          100  75.00%
0        0        swapper/12       12        4743600       559900  88.20%
2752     2785     gdbus            17            400            0 100.00%
2439     2439     kalendarac       14           3000         1900  36.67%
5600     5600     vkcube           1            6900         9700   0.00%
710      710      kworker/u80:5    16            400         1500   0.00%
70       70       kworker/12:0     12        1070800       188600  82.39%
0        0        swapper/8        8           96800         7800  91.94%
3228     3248     QXcbEventQueue   14           2200         1000  54.55%
2752     2752     bamfdaemon       17          20600         8400  59.22%
5653     5653     nvidia-modprobe  17           3500         2200  37.14%
2349     2349     xfce4-panel      5           27600        24800  10.14%
4026     4041     Timer            12           1900         1000  47.37%
2328     2328     xfsettingsd      0             200          700   0.00%
5600     5669     vkcube           2            2600          700  73.08%
220      220      kworker/11:1     11           5500         1700  69.09%
5016     5016     Web Content      9            5700         2400  57.89%
0        0        swapper/14       14        1016800       403200  60.35%
5624     5624     nvidia-modprobe  17          29100         8600  70.45%
1617     1715     Xorg:gdrv0       2            4200         7700   0.00%
2438     2438     xfce4-terminal   10          61300        42900  30.02%
4099     4099     kworker/13:3     13          16100         6400  60.25%
2396     2396     panel-5-netload  17         236900        85300  63.99%
2947     2952     mysqld           0            2000          500  75.00%
2074     2074     xfce4-session    6            4500         4000  11.11%
5600     5600     vkcube           6           90800        89800   1.10%
1222     1222     irq/194-iwlwifi  9            6800         5900  13.24%
5600     5600     vkcube           0           85600        30300  64.60%
2067     2071     rtkit-daemon     15           1500          300  80.00%
723      723      kworker/u80:6    12           4000         1200  70.00%
3223     3247     QXcbEventQueue   14           1700          200  88.24%
2396     2396     panel-5-netload  12          25100         7200  71.31%
5058     5058     Web Content      19           3700          600  83.78%
2273     2273     xfwm4            4          111300       106100   4.67%
111      111      migration/18     18           8700         1700  80.46%
5619     5619     kworker/7:0      7             500          100  80.00%
2390     2405     gmain            2            9000         3200  64.44%
5625     5625     modprobe         17          21100        36400   0.00%
2390     2390     xfdesktop        17           3600          300  91.67%
4252     4252     kworker/2:2      2          116700         6400  94.52%
2625     2625     plank            4            1300         3000   0.00%
2273     2273     xfwm4            10          59900        17000  71.62%
2625     5615     pool-plank       17           9800         2000  79.59%
58       58       migration/10     10           2300          600  73.91%
5633     5633     nvidia-modprobe  18          11700         1900  83.76%
2625     2625     plank            19           1700         6000   0.00%
13       13       kworker/u80:1    17          66700        36500  45.28%
5630     5630     modprobe         4           21100        27200   0.00%
5635     5635     nvidia-modprobe  17           7300         8100   0.00%
5600     5600     vkcube           12          80100        72600   9.36%
2939     2939     blueman-tray     0          113000         5400  95.22%
1617     1617     Xorg             9            1100            0 100.00%
2251     2251     at-spi2-registr  18           3000         1600  46.67%
3555     3562     IPC I/O Child    14           2600         1500  42.31%
13       13       kworker/u80:1    19          46300        50700   0.00%
675      675      dmcrypt_write/2  12           3200         1700  46.88%
3229     3271     QXcbEventQueue   12           1900         1200  36.84%
0        0        swapper/17       17        7105700      1205800  83.03%
3228     3248     QXcbEventQueue   12           7500         2200  70.67%
1505     1540     gmain            12          18700         6300  66.31%
5660     5660     nvidia-modprobe  4           10600         6800  35.85%
3228     3228     akonadi_migrati  19           2100         1500  28.57%
342      342      kworker/18:1H    18          20100        17500  12.94%
4707     4707     qalculate-gtk    6            4600         3400  26.09%
5600     5667     vkcube:traceq0   12           2200         1300  40.91%
82       82       migration/14     14           7300          800  89.04%
2273     2335     threaded-ml      6            6000         2500  58.33%
105      105      ksoftirqd/17     17           2800          800  71.43%
5656     5656     nvidia-modprobe  1           13800         6900  50.00%
24       24       migration/0      0           28700         2400  91.64%
2624     2624     redshift         6           18600        11000  40.86%
64       64       rcuog/10         0         1880300        29300  98.44%
5016     5016     Web Content      12           5700         1800  68.42%
2349     2349     xfce4-panel      13          17100        15700   8.19%
0        0        swapper/16       16         468000       134300  71.30%
2074     2074     xfce4-session    4            3300          800  75.76%
1617     1617     Xorg             8           82600        80400   2.66%
2386     2386     panel-7-whisker  18           4900         4100  16.33%
258      258      kworker/0:2      0          454900        22700  95.01%
920      920      kworker/u80:10   14         283700       178500  37.08%
3228     3248     QXcbEventQueue   19           4100         1300  68.29%
3482     3506     JS Watchdog      2            6100         1000  83.61%
5613     5613     modprobe         12          43100        39900   7.42%
761      761      systemd-journal  12         109800        67100  38.89%
1528     1660     usbmuxd          13           2600         1900  26.92%
